year,vegetable,group,harvest_t,source_file,source_cell,source_symbol
1973,ばれいしょ,根菜類,3413000,roots.xls,AJ8,
1973,キャベツ,葉茎菜類,1386000,leaves.xls,R8,
1973,たまねぎ,葉茎菜類,993900,leaves.xls,DG8,
1973,だいこん,根菜類,2681000,roots.xls,C8,
1973,はくさい,葉茎菜類,1779000,leaves.xls,C8,
1973,トマト,果菜類,865000,fruits.xls,X8,
1973,レタス,葉茎菜類,225900,leaves.xls,BQ8,
1973,にんじん,根菜類,477500,roots.xls,R8,
1973,きゅうり,果菜類,1001000,fruits.xls,C8,
1973,ねぎ,葉茎菜類,566300,leaves.xls,CO8,
1973,なす,果菜類,713700,fruits.xls,O8,
1973,ほうれんそう,葉茎菜類,343700,leaves.xls,AG8,
1973,ブロッコリー,葉茎菜類,,leaves.xls,BN8,…
1973,ピーマン,果菜類,144000,fruits.xls,AV8,
1973,さといも,根菜類,384600,roots.xls,AS8,
1974,ばれいしょ,根菜類,2942000,roots.xls,AJ9,
1974,キャベツ,葉茎菜類,1433000,leaves.xls,R9,
1974,たまねぎ,葉茎菜類,1031000,leaves.xls,DG9,
1974,だいこん,根菜類,2724000,roots.xls,C9,
1974,はくさい,葉茎菜類,1712000,leaves.xls,C9,
1974,トマト,果菜類,821500,fruits.xls,X9,
1974,レタス,葉茎菜類,246100,leaves.xls,BQ9,
1974,にんじん,根菜類,513800,roots.xls,R9,
1974,きゅうり,果菜類,962500,fruits.xls,C9,
1974,ねぎ,葉茎菜類,554500,leaves.xls,CO9,
1974,なす,果菜類,662500,fruits.xls,O9,
1974,ほうれんそう,葉茎菜類,334900,leaves.xls,AG9,
1974,ブロッコリー,葉茎菜類,,leaves.xls,BN9,…
1974,ピーマン,果菜類,139500,fruits.xls,AV9,
1974,さといも,根菜類,430300,roots.xls,AS9,
1975,ばれいしょ,根菜類,3261000,roots.xls,AJ10,
1975,キャベツ,葉茎菜類,1423000,leaves.xls,R10,
1975,たまねぎ,葉茎菜類,1032000,leaves.xls,DG10,
1975,だいこん,根菜類,2545000,roots.xls,C10,
1975,はくさい,葉茎菜類,1607000,leaves.xls,C10,
1975,トマト,果菜類,1024000,fruits.xls,X10,
1975,レタス,葉茎菜類,258400,leaves.xls,BQ10,
1975,にんじん,根菜類,495200,roots.xls,R10,
1975,きゅうり,果菜類,1023000,fruits.xls,C10,
1975,ねぎ,葉茎菜類,554600,leaves.xls,CO10,
1975,なす,果菜類,668400,fruits.xls,O10,
1975,ほうれんそう,葉茎菜類,345900,leaves.xls,AG10,
1975,ブロッコリー,葉茎菜類,,leaves.xls,BN10,…
1975,ピーマン,果菜類,146800,fruits.xls,AV10,
1975,さといも,根菜類,370200,roots.xls,AS10,
1976,ばれいしょ,根菜類,3742000,roots.xls,AJ11,
1976,キャベツ,葉茎菜類,1468000,leaves.xls,R11,
1976,たまねぎ,葉茎菜類,1123000,leaves.xls,DG11,
1976,だいこん,根菜類,2671000,roots.xls,C11,
1976,はくさい,葉茎菜類,1668000,leaves.xls,C11,
1976,トマト,果菜類,900200,fruits.xls,X11,
1976,レタス,葉茎菜類,281800,leaves.xls,BQ11,
1976,にんじん,根菜類,542100,roots.xls,R11,
1976,きゅうり,果菜類,996400,fruits.xls,C11,
1976,ねぎ,葉茎菜類,537100,leaves.xls,CO11,
1976,なす,果菜類,623600,fruits.xls,O11,
1976,ほうれんそう,葉茎菜類,331300,leaves.xls,AG11,
1976,ブロッコリー,葉茎菜類,,leaves.xls,BN11,…
1976,ピーマン,果菜類,149100,fruits.xls,AV11,
1976,さといも,根菜類,425500,roots.xls,AS11,
1977,ばれいしょ,根菜類,3520000,roots.xls,AJ12,
1977,キャベツ,葉茎菜類,1532000,leaves.xls,R12,
1977,たまねぎ,葉茎菜類,1121000,leaves.xls,DG12,
1977,だいこん,根菜類,2759000,roots.xls,C12,
1977,はくさい,葉茎菜類,1743000,leaves.xls,C12,
1977,トマト,果菜類,974200,fruits.xls,X12,
1977,レタス,葉茎菜類,322800,leaves.xls,BQ12,
1977,にんじん,根菜類,584900,roots.xls,R12,
1977,きゅうり,果菜類,1068000,fruits.xls,C12,
1977,ねぎ,葉茎菜類,554100,leaves.xls,CO12,
1977,なす,果菜類,658000,fruits.xls,O12,
1977,ほうれんそう,葉茎菜類,351700,leaves.xls,AG12,
1977,ブロッコリー,葉茎菜類,,leaves.xls,BN12,…
1977,ピーマン,果菜類,166400,fruits.xls,AV12,
1977,さといも,根菜類,430200,roots.xls,AS12,
